AngX (Acc)       AngY (Acc)      AngX (Gyr)      AngY (Gyr)      AngX (At)      AngY (At)
-179.3   84.3    -15.9   17.5    -141.2  80.2
-179.6   83.1    -16.0   17.5    -141.9  80.0
-179.3   83.4    -16.0   17.5    -141.9  80.0
-179.6   83.3    -16.0   17.5    -141.9  80.0
-179.3   83.4    -16.0   17.5    -141.9  80.0
-179.6   83.3    -16.0   17.5    -141.9  80.0
-179.6   83.4    -16.0   17.6    -141.9  80.0
-179.3   83.5    -16.0   17.6    -141.9  80.0
-179.3   83.5    -16.0   17.6    -141.9  80.0
-179.3   83.5    -16.0   17.6    -140.4  80.2
-179.4   83.3    -16.0   17.2    -129.8  81.8
-179.1   86.2    -16.0   17.0    -109.2  83.3
-179.1   88.3    -16.0   16.2    -55.2   82.2
-0.9     80.6    -16.1   15.6    -29.8   77.1
-0.7     77.6    -16.1   14.7    -17.7   69.1
0.2      70.8    -16.3   12.4    -9.2    49.6
-0.7     43.9    -16.3   10.5    -7.5    38.1
0.0      33.7    -16.4   9.8     -6.5    32.1
0.4      29.6    -16.4   8.9     -5.4    25.8
1.1      21.7    -16.5   9.1     -5.6    26.5
0.4      23.2    -16.5   9.8     -5.9    31.3
-0.2     30.1    -16.5   10.9    -6.7    41.0
0.2      41.4    -16.6   12.2    -7.8    51.2
0.0      50.1    -16.6   13.1    -9.9    58.9
-0.2     58.6    -16.7   14.0    -12.6   65.7
-0.4     65.9    -16.7   14.6    -17.1   71.6
-0.7     71.4    -16.6   15.2    -20.6   74.6
-0.4     74.7    -16.6   15.8    -31.6   79.4
-0.7     81.4    -16.7   16.3    -48.6   82.6
-0.9     84.9    -16.6   16.8    -81.3   84.2
-179.3   89.3    -16.7   17.2    -115.0  83.7
-179.1   86.9    -16.7   17.3    -123.5  83.1
-179.1   86.7    -16.7   17.3    -119.4  83.3
-179.8   87.2    -16.9   17.3    -126.8  82.6
-179.4   86.1    -16.9   17.3    -128.2  82.4
-179.1   86.2    -16.9   17.3    -128.2  82.4
-179.3   86.1    -16.9   17.3    -129.4  82.4
-179.3   86.0    -16.9   17.3    -128.4  82.2
-179.3   85.4    -16.9   17.3    -129.6  82.0
-179.1   85.8    -16.9   17.3    -127.2  82.4
-179.1   86.6    -16.9   17.3    -127.2  82.4
-179.1   86.2    -16.9   17.3    -125.9  82.4
-179.1   86.7    -16.9   17.3    -124.5  82.7
-179.3   86.9    -16.9   17.3    -121.6  82.9
-179.1   87.3    -16.9   17.3    -121.6  82.9
-179.3   87.3    -16.9   17.3    -120.0  82.9
-179.3   87.6    -16.9   17.2    -119.2  82.7
-179.1   87.5    -16.9   17.2    -116.0  82.9
-178.3   86.7    -17.0   17.4    -106.5  78.2
-172.9   82.1    -17.2   17.5    -99.2   59.6
-152.0   62.0    -16.9   17.5    -94.6   34.7
-129.9   39.9    -16.7   17.7    -93.6   21.4
-111.3   21.2    -16.7   17.6    -93.0   10.7
-102.9   12.8    -16.7   18.0    -93.4   0.4
-94.2    3.4     -16.6   18.0    -92.9   -3.3
-91.5    -1.3    -16.6   18.1    -92.9   -3.5
-93.0    -0.9    -16.7   18.2    -92.7   -4.0
-92.7    -0.9    -16.7   18.3    -92.9   -4.2
-92.5    -0.9    -16.7   18.3    -93.2   -4.4
-93.1    -0.9    -16.7   18.3    -93.4   -4.6
-94.1    -1.1    -16.7   18.4    -93.4   -4.6
-94.2    -0.9    -16.7   18.4    -93.4   -4.8
-92.7    -0.9    -16.7   18.5    -93.4   -5.0
-93.4    -1.1    -16.6   18.5    -93.2   -5.3
-95.4    -0.9    -16.0   18.4    -88.1   -5.3
-83.7    -0.9    -15.8   18.5    -84.5   -5.3
-82.9    -0.9    -15.3   18.5    -80.9   -5.5
-79.8    -0.7    -15.0   18.5    -77.0   -5.5
-75.6    -0.7    -14.5   18.5    -71.2   -5.5
-70.9    -0.9    -13.7   18.5    -63.3   -5.5
-60.7    -0.9    -12.2   18.4    -51.2   -5.6
-45.8    0.0     -10.8   18.4    -39.4   -5.3
-32.7    0.2     -10.4   18.4    -33.1   -4.9
-28.6    0.0     -9.9    18.5    -28.1   -4.4
-27.2    -0.5    -9.6    18.5    -25.8   -4.4
-22.9    0.0     -9.6    18.6    -23.4   -3.5
-21.6    0.2     -9.3    18.6    -20.2   -3.1
-19.2    0.7     -8.6    18.6    -14.5   -2.9
-10.7    0.4     -8.2    18.6    -10.1   -2.4
-8.3     0.7     -8.1    18.6    -8.5    -2.2
-6.3     0.7     -7.7    18.6    -5.1    -1.7
-3.3     0.9     -7.7    18.6    -5.1    -1.5
-3.6     0.9     -7.9    18.7    -6.7    -1.3
-6.1     0.4     -9.1    18.5    -16.3   -1.7
-15.0    -0.5    -10.0   18.6    -23.3   -1.3
-21.2    -0.4    -11.2   18.7    -35.2   -1.3
-33.9    -0.2    -12.6   18.8    -46.1   -1.5
-49.7    -0.7    -13.2   18.8    -53.1   -1.7
-52.6    -0.7    -14.1   18.9    -61.0   -2.2
-65.0    -0.9    -14.5   18.8    -67.4   -2.2
-69.5    -0.7    -15.2   18.8    -73.1   -2.7
-75.0    -0.9    -15.5   18.8    -76.6   -2.9
-77.7    -0.7    -16.1   18.9    -81.0   -3.1
-82.9    -0.9    -16.4   18.9    -82.6   -3.3
-83.1    -0.9    -16.6   18.9    -84.9   -3.5
-85.8    -0.9    -16.8   18.9    -86.5   -3.8
-86.3    -1.1    -17.1   18.9    -88.7   -4.0
-90.9    -0.9    -17.2   19.0    -90.5   -4.4
-91.4    -0.9    -17.4   19.0    -92.1   -4.7
-93.6    -0.9    -17.5   19.0    -93.0   -4.7
-93.8    -1.1    -17.5   19.0    -93.2   -4.9
-93.6    -0.9    -17.5   19.0    -93.4   -5.1
-94.1    -1.1    -17.5   19.0    -93.4   -5.1
-93.8    -0.9    -17.5   19.0    -93.6   -5.3
-93.9    -1.1    -17.5   19.1    -93.6   -5.3
-93.8    -0.9    -17.5   19.1    -93.6   -5.5
-93.8    -0.9    -17.6   19.1    -93.8   -5.5
-93.8    -0.9    -17.6   19.1    -93.6   -5.7
-93.8    -0.9    -17.5   19.1    -93.4   -5.7
-94.6    -0.9    -17.2   19.1    -90.7   -5.8
-91.1    -1.1    -16.9   19.0    -87.6   -5.8
-89.0    -0.7    -15.8   19.1    -81.1   -5.8
-80.8    -0.9    -14.4   19.1    -66.5   -5.8
-60.8    -1.6    -12.2   19.0    -48.0   -5.8
-38.4    0.2     -11.0   19.0    -36.1   -5.6
-33.2    -0.2    -8.6    19.1    -18.5   -5.4
-16.1    -1.5    -8.3    19.1    -17.3   -4.9
-16.0    0.0     -7.7    19.1    -12.7   -4.7
-8.9     0.9     -6.8    19.2    -7.4    -4.0
-5.6     -0.4    -6.7    19.2    -6.9    -3.5
-5.6     0.7     -6.7    19.2    -6.0    -2.6
-3.8     0.9     -6.7    19.2    -5.8    -2.0
-3.8     1.3     -6.7    19.2    -5.6    -1.5
-3.8     1.1     -6.7    19.2    -5.6    -1.3
-4.0     1.1     -6.7    19.2    -5.3    -1.1
-3.8     1.3     -6.7    19.3    -5.3    -0.6
-3.8     1.1     -6.7    19.3    -5.1    -0.4
-4.0     1.1     -6.7    19.3    -5.1    -0.2
-3.8     1.1     -6.7    19.3    -5.1    0.0
-4.0     1.1     -6.7    19.3    -5.1    0.0
-4.0     1.1     -6.7    19.3    -4.9    0.0
-3.8     1.1     -6.7    19.3    -4.9    0.2
-3.8     1.1     -6.7    19.4    -4.9    0.4
-3.8     1.1     -6.8    19.4    -4.9    0.4
-3.8     1.1     -6.8    19.4    -4.9    0.6
-3.8     1.1     -6.8    19.4    -4.7    0.8
-3.8     1.1     -6.8    19.4    -4.7    0.8
-4.0     1.1     -6.8    19.4    -4.7    0.8
-4.0     1.1     -6.8    19.4    -4.7    1.1
-3.8     1.1     -6.8    19.5    -4.7    1.1
-
